-36.0	49.0	17.0
-33.0	52.0	19.0
-33.0	48.0	14.0
-34.0	52.0	16.0
-33.0	52.0	14.0
-36.0	50.0	17.0
-36.0	52.0	18.0
-36.0	49.0	18.0
-32.0	52.0	15.0
-33.0	50.0	21.0
-34.0	51.0	19.0
-32.0	52.0	17.0
-34.0	52.0	14.0
-33.0	52.0	17.0
-36.0	50.0	15.0
-31.0	43.0	18.0
-27.0	29.0	14.0
-14.0	18.0	7.0
-10.0	5.0	-2.0
-5.0	3.0	-17.0
-2.0	-4.0	-30.0
-3.0	-8.0	-44.0
-13.0	-11.0	-55.0
-20.0	-7.0	-63.0
-17.0	-4.0	-68.0
-19.0	-5.0	-74.0
-19.0	-1.0	-74.0
-20.0	-3.0	-70.0
-24.0	-2.0	-72.0
-23.0	-4.0	-74.0
-28.0	0.0	-77.0
-30.0	6.0	-84.0
-29.0	13.0	-88.0
-29.0	21.0	-92.0
-35.0	29.0	-96.0
-56.0	36.0	-88.0
-69.0	39.0	-80.0
-77.0	40.0	-54.0
-79.0	42.0	-27.0
-74.0	43.0	-12.0
-65.0	43.0	-1.0
-56.0	43.0	5.0
-51.0	39.0	8.0
-43.0	29.0	9.0
-36.0	25.0	14.0
-29.0	19.0	12.0
-24.0	16.0	8.0
-20.0	15.0	7.0
-14.0	18.0	6.0
0.0	25.0	5.0
12.0	33.0	-7.0
19.0	36.0	-22.0
23.0	33.0	-29.0
20.0	33.0	-51.0
11.0	35.0	-77.0
-4.0	38.0	-88.0
-7.0	40.0	-90.0
-5.0	33.0	-88.0
-2.0	13.0	-79.0
-17.0	-1.0	-73.0
-40.0	-8.0	-71.0
-55.0	-2.0	-58.0
-64.0	2.0	-46.0
-72.0	15.0	-43.0
-75.0	21.0	-43.0
-77.0	30.0	-39.0
-78.0	40.0	-39.0
-78.0	46.0	-35.0
-77.0	49.0	-36.0
-70.0	54.0	-18.0
-59.0	56.0	-1.0
-40.0	51.0	4.0
-29.0	52.0	10.0
-23.0	52.0	8.0
-23.0	50.0	13.0
-23.0	48.0	11.0
-23.0	46.0	14.0
-22.0	44.0	8.0
-25.0	44.0	17.0
-26.0	40.0	13.0
-28.0	41.0	6.0
-26.0	39.0	16.0
-27.0	37.0	11.0
-33.0	37.0	12.0
-39.0	36.0	12.0
-33.0	33.0	12.0
-31.0	35.0	15.0
-26.0	38.0	12.0
-25.0	31.0	12.0
-27.0	33.0	13.0
-30.0	35.0	13.0
-33.0	38.0	12.0
-38.0	41.0	15.0
-40.0	41.0	14.0
-32.0	41.0	12.0
-36.0	44.0	14.0
-40.0	40.0	12.0
-47.0	42.0	3.0
-63.0	37.0	-1.0
-75.0	39.0	-30.0
-78.0	34.0	-46.0
-70.0	36.0	-63.0
-60.0	34.0	-85.0
-53.0	36.0	-90.0
-51.0	38.0	-86.0
-57.0	52.0	-86.0
-53.0	67.0	-79.0
-49.0	80.0	-68.0
-43.0	85.0	-59.0
-35.0	93.0	-49.0
-20.0	93.0	-37.0
-15.0	88.0	-30.0
-10.0	82.0	-14.0
-10.0	80.0	-13.0
-5.0	66.0	0.0
0.0	53.0	1.0
0.0	36.0	1.0
2.0	33.0	0.0
-1.0	26.0	1.0
-6.0	17.0	3.0
-5.0	12.0	-3.0
-1.0	7.0	-14.0
1.0	3.0	-14.0
3.0	8.0	-19.0
1.0	11.0	-12.0
-6.0	16.0	2.0
-11.0	34.0	10.0
-17.0	55.0	8.0
-21.0	64.0	8.0
-27.0	63.0	8.0
-21.0	52.0	8.0
-24.0	44.0	11.0
-29.0	47.0	12.0
-27.0	52.0	13.0
-26.0	39.0	16.0
-21.0	14.0	5.0
-9.0	-2.0	-14.0
0.0	-2.0	-52.0
-2.0	6.0	-71.0
-8.0	25.0	-92.0
-13.0	54.0	-92.0
-15.0	65.0	-90.0
-12.0	67.0	-88.0
-11.0	61.0	-81.0
-7.0	50.0	-90.0
-8.0	39.0	-89.0
-11.0	24.0	-91.0
-9.0	13.0	-85.0
-8.0	6.0	-73.0
-5.0	0.0	-75.0
-7.0	0.0	-64.0
-5.0	0.0	-61.0
-8.0	-7.0	-54.0
-12.0	-8.0	-39.0
-15.0	-8.0	-31.0
-17.0	-2.0	-18.0
-16.0	-1.0	-15.0
-18.0	-1.0	-6.0
-23.0	3.0	1.0
-29.0	16.0	10.0
-36.0	29.0	6.0
-34.0	31.0	15.0
-31.0	49.0	16.0
-31.0	62.0	13.0
-24.0	75.0	7.0
-22.0	81.0	-4.0
-20.0	90.0	-18.0
-17.0	92.0	-30.0
-17.0	94.0	-30.0
-17.0	91.0	-33.0
-14.0	88.0	-40.0
-15.0	92.0	-36.0
-16.0	91.0	-30.0
-15.0	91.0	-28.0
-18.0	80.0	-10.0
-18.0	70.0	4.0
-24.0	57.0	13.0
-23.0	43.0	14.0
-20.0	41.0	12.0
-14.0	40.0	14.0
-5.0	43.0	9.0
4.0	44.0	1.0
15.0	44.0	-21.0
21.0	43.0	-43.0
10.0	43.0	-73.0
-6.0	40.0	-86.0
-25.0	41.0	-91.0
-36.0	42.0	-91.0
-33.0	43.0	-94.0
-11.0	41.0	-91.0
12.0	40.0	-72.0
17.0	41.0	-29.0
0.0	36.0	3.0
-34.0	28.0	15.0
-62.0	38.0	0.0
-72.0	46.0	-22.0
-80.0	41.0	-43.0
-73.0	30.0	-64.0
-70.0	18.0	-55.0
-64.0	3.0	-47.0
-54.0	-5.0	-40.0
-40.0	-7.0	-31.0
-30.0	-13.0	-28.0
-18.0	-7.0	-24.0
-15.0	-5.0	-20.0
-17.0	-5.0	-23.0
-30.0	-10.0	-31.0
-32.0	-12.0	-43.0
-31.0	-11.0	-42.0
-35.0	-12.0	-40.0
-33.0	-11.0	-24.0
-22.0	-5.0	-14.0
-16.0	-1.0	-12.0
-11.0	4.0	-8.0
2.0	16.0	-7.0
8.0	35.0	-5.0
12.0	48.0	-4.0
14.0	60.0	-10.0
7.0	74.0	-16.0
-4.0	86.0	-19.0
-16.0	94.0	-35.0
-27.0	94.0	-46.0
-38.0	86.0	-58.0
-46.0	86.0	-60.0
-51.0	86.0	-57.0
-43.0	90.0	-55.0
